state_name,state_abbreviation,regulator_name,regulator_webpage_link,EIBC_categorization,market status,in_eibc_language,,,Process notes:
Connecticut,CT,Connecticut Department of Public Utility Control,Connecticut Department of Public Utility Control,deregulated,Liberalized market,deregulated,,,
Delaware,DE,Delaware Public Service Commission,Delaware Public Service Commission,deregulated,Liberalized market,deregulated,,,
Illinois,IL,Illinois Commerce Commission,Illinois Commerce Commission,deregulated,Liberalized market,deregulated,,,
Maine,ME,Maine Public Utilities Commission,Maine Public Utilities Commission,deregulated,Liberalized market,deregulated,,,
Maryland,MD,Maryland Public Service Commission,Maryland Public Service Commission,deregulated,Liberalized market,deregulated,,,
Massachusetts,MA,Massachusetts Department of Public Utilities,Massachusetts Department of Public Utilities,deregulated,Liberalized market,deregulated,,,
New Hampshire,NH,New Hampshire Public Utilities Commission,New Hampshire Public Utilities Commission,deregulated,Liberalized market,deregulated,,,
New Jersey,NJ,New Jersey Board of Public Utilities,New Jersey Board of Public Utilities,deregulated,Liberalized market,deregulated,,,
New York,NY,New York Public Service Commission,New York Public Service Commission,deregulated,Liberalized market,deregulated,,,
Ohio,OH,Ohio Public Utilities Commission,Ohio Public Utilities Commission,deregulated,Liberalized market,deregulated,,,
Pennsylvania,PA,Pennsylvania Public Utility Commission,Pennsylvania Public Utility Commission,deregulated,Liberalized market,deregulated,,,
Rhode Island,RI,Rhode Island Public Utilities Commission,Rhode Island Public Utilities Commission,deregulated,Liberalized market,deregulated,,,
Texas,TX,Texas Public Utility Commission,Texas Public Utility Commission,deregulated,Liberalized market,deregulated,,,
Zsort District Of Columbia,DC,Washington DC Public Service Commission,Washington DC Public Service Commission,,Liberalized market,deregulated,,,
California,CA,California Public Utilities Commission,California Public Utilities Commission,partial,Limited CI choice,partial,,,https://www.electricchoice.com/map-deregulated-energy-markets/
Michigan,MI,Michigan Public Service Commission,Michigan Public Service Commission,partial,Limited CI choice,partial,,,
Oregon,OR,Oregon Public Utility Commission,Oregon Public Utility Commission,partial,Limited CI choice,partial,,,
Alabama,AL,Alabama Public Service Commission,Alabama Public Service Commission,not deregulated,Vertical monopoly,not deregulated,,,https://www.pacificresearch.org/wp-content/uploads/2017/06/50StatesEnergy_FirstFinalWeb.pdf
Alaska,AK,Alaska Regulatory Commission,Alaska Regulatory Commission,not deregulated,Vertical monopoly,not deregulated,,,worked off off this report
Arizona,AZ,Arizona Corporation Commission,Arizona Corporation Commission,not deregulated,Vertical monopoly,not deregulated,,,"pg. 17 has a list of states with a ""market competition score"" ranking them on the percentage of customers choosing an alternative supplier to their monopoly utility"
Arkansas,AR,Arkansas Public Service Commission,Arkansas Public Service Commission,not deregulated,Vertical monopoly,not deregulated,,,double-checked on two websites listing retail choice:
Colorado,CO,Colorado Public Utilities Commission,Colorado Public Utilities Commission,not deregulated,Vertical monopoly,not deregulated,,,https://www.resausa.org/energy-by-state/
Florida,FL,Florida Public Service Commission,Florida Public Service Commission,not deregulated,Vertical monopoly,not deregulated,,,
Georgia,GA,Georgia Public Service Commission,Georgia Public Service Commission,partial,Vertical monopoly,not deregulated,,,
Hawaii,HI,Hawaii Public Utilities Commission,Hawaii Public Utilities Commission,not deregulated,Vertical monopoly,not deregulated,,,
Idaho,ID,Idaho Public Utilities Commission,Idaho Public Utilities Commission,not deregulated,Vertical monopoly,not deregulated,,,
Indiana,IN,Indiana Utility Regulatory Commission,Indiana Utility Regulatory Commission,not deregulated,Vertical monopoly,not deregulated,,,
Iowa,IA,Iowa State Utilities Board,Iowa State Utilities Board,not deregulated,Vertical monopoly,not deregulated,,,
Kansas,KS,Kansas Corporation Commission,Kansas Corporation Commission,not deregulated,Vertical monopoly,not deregulated,,,
Kentucky,KY,Kentucky Public Service Commission,Kentucky Public Service Commission,not deregulated,Vertical monopoly,not deregulated,,,
Louisiana,LA,Louisiana Public Service Commission,Louisiana Public Service Commission,not deregulated,Vertical monopoly,not deregulated,,,
Minnesota,MN,Minnesota Public Utilities Commission,Minnesota Public Utilities Commission,not deregulated,Vertical monopoly,not deregulated,,,
Mississippi,MS,Mississippi Public Service Commission,Mississippi Public Service Commission,not deregulated,Vertical monopoly,not deregulated,,,
Missouri,MO,Missouri Public Service Commission,Missouri Public Service Commission,not deregulated,Vertical monopoly,not deregulated,,,
Montana,MT,Montana Public Service Commission,Montana Public Service Commission,not deregulated,Vertical monopoly,not deregulated,,,
Nebraska,NE,Nebraska Public Service Commission,Nebraska Public Service Commission,not deregulated,Vertical monopoly,not deregulated,,,
Nevada,NV,Nevada Public Utilities Commission,Nevada Public Utilities Commission,not deregulated,Vertical monopoly,not deregulated,,,
New Mexico,NM,New Mexico Public Regulation Commission,New Mexico Public Regulation Commission,not deregulated,Vertical monopoly,not deregulated,,,
North Carolina,NC,North Carolina Utilities Commission,North Carolina Utilities Commission,not deregulated,Vertical monopoly,not deregulated,,,
North Dakota,ND,North Dakota Public Service Commission,North Dakota Public Service Commission,not deregulated,Vertical monopoly,not deregulated,,,
